StrainID,ShortStrainCode,RRNATaxonomy,StrainIdentifierValue,StrainNameAlt,RCAMCollectionID
"603","IB2015P195-2","","IB2015P195-2","IB2015P195-2","-"
"604","IB2015P195-3","","IB2015P195-3","IB2015P195-3","-"
"605","IB2015P195-4","","IB2015P195-4","IB2015P195-4","-"
"606","IB2015P196-1","","IB2015P196-1","IB2015P196-1","-"
"607","IB2015P196-2","","IB2015P196-2","IB2015P196-2","-"
"608","IB2015P196-3","","IB2015P196-3","IB2015P196-3","-"
"609","IB2015P196-4","","IB2015P196-4","IB2015P196-4","-"
"610","IB2015P197-1","","IB2015P197-1","IB2015P197-1","-"
"611","IB2015P197-2","","IB2015P197-2","IB2015P197-2","-"
"612","IB2015P197-3","","IB2015P197-3","IB2015P197-3","-"
"613","IB2015P197-4","","IB2015P197-4","IB2015P197-4","-"
"614","IB2015P197-5","","IB2015P197-5","IB2015P197-5","-"
"615","IB2015P199-1","","IB2015P199-1","IB2015P199-1","-"
"616","IB2015P199-2","","IB2015P199-2","IB2015P199-2","-"
"617","IB2015P199-3","","IB2015P199-3","IB2015P199-3","-"
"618","IB2015P200-1","","IB2015P200-1","IB2015P200-1","-"
"619","IB2015P200-3","","IB2015P200-3","IB2015P200-3","-"
"620","IB2015P201-1","","IB2015P201-1","IB2015P201-1","-"
"621","IB2015P201-2","","IB2015P201-2","IB2015P201-2","-"
"622","IB2015P202-1","","IB2015P202-1","IB2015P202-1","-"
"623","IB2015P202-2","","IB2015P202-2","IB2015P202-2","-"
"624","IB2015P204-1","","IB2015P204-1","IB2015P204-1","-"
"625","IB2015P209-1","","IB2015P209-1","IB2015P209-1","-"
"626","IB2015P209-2","","IB2015P209-2","IB2015P209-2","-"
"627","IB2015P209-3","","IB2015P209-3","IB2015P209-3","-"
"628","IB2015P210-1","","IB2015P210-1","IB2015P210-1","-"
"629","IB2015P211-1","","IB2015P211-1","IB2015P211-1","-"
"630","IB2015P211-2","","IB2015P211-2","IB2015P211-2","-"
"631","IB2015P211-3","","IB2015P211-3","IB2015P211-3","-"
"632","IB2015P211-4","","IB2015P211-4","IB2015P211-4","-"
"633","IB2015P212-1","","IB2015P212-1","IB2015P212-1","-"
