StorageID,BoxIDValue,CellIDValue
"662","9","C3"
"663","9","C4"
"664","9","C5"
"665","9","C6"
"666","9","C7"
"667","9","C8"
"668","9","C9"
"669","9","D1"
"670","9","D2"
"671","9","D3"
"672","9","D4"
"673","9","D5"
"674","9","D6"
"675","9","D7"
"676","9","D8"
"677","9","D9"
"678","9","E1"
"679","9","E2"
"680","9","E3"
"681","9","E4"
"682","9","E5"
"683","9","E6"
"684","9","E7"
"685","9","E8"
"686","9","E9"
"687","9","F1"
"688","9","F2"
"689","9","F3"
"690","9","F4"
"691","9","F5"
"692","9","F6"
"693","9","F7"
"694","9","F8"
"695","9","F9"
"696","9","G1"
"697","9","G2"
"698","9","G3"
"699","9","G4"
"700","9","G5"
"701","9","G6"
"702","9","G7"
"703","9","G8"
"704","9","G9"
"705","9","H1"
"706","9","H2"
"707","9","H3"
"708","9","H4"
"709","9","H5"
"710","9","H6"
"711","9","H7"
"712","9","H8"
"713","9","H9"
"714","9","I1"
"715","9","I2"
"716","9","I3"
"717","9","I4"
"718","9","I5"
"719","9","I6"
"720","9","I7"
"721","9","I8"
"722","9","I9"
"723","10","A1"
"724","10","A2"
"725","10","A3"
"726","10","A4"
"727","10","A5"
"728","10","A6"
"729","10","A7"
"730","10","A8"
"731","10","A9"
"732","10","B1"
"733","10","B2"
"734","10","B3"
"735","10","B4"
"736","10","B6"
"737","10","B7"
"738","10","B8"
"739","10","B9"
"740","10","C1"
"741","10","C2"
"742","10","C3"
"743","10","C4"
"744","10","C5"
"745","10","C6"
"746","10","C7"
"747","10","C8"
"748","10","C9"
"749","10","D1"
"750","10","D2"
"751","10","D3"
"752","10","D4"
"753","10","D5"
"754","10","D6"
"755","10","D7"
"756","10","D8"
"757","10","D9"
"758","10","E1"
"759","10","E2"
"760","10","E3"
"761","10","E4"
"762","10","E5"
"763","10","E6"
"764","10","E7"
"765","10","E8"
"766","10","E9"
"767","10","F1"
"768","10","F2"
"769","10","F3"
"770","10","F4"
"771","10","F5"
"772","10","F6"
"773","10","F7"
"774","10","F8"
"775","10","F9"
"776","10","G1"
"777","10","G2"
"778","10","G3"
"779","10","G4"
"780","10","G5"
"781","10","G6"
"782","10","G7"
"783","10","G8"
"784","10","G9"
"785","10","H1"
"786","10","H2"
"787","10","H3"
"788","10","H4"
"789","10","H5"
"790","10","H6"
"791","10","H7"
"792","10","H8"
"793","10","H9"
"794","10","I1"
"795","10","I2"
"796","10","I3"
"797","10","I4"
"798","10","I5"
"799","10","I6"
"800","10","I7"
"801","10","I8"
"802","10","I9"
"803","11","A1"
"804","11","A2"
"805","11","A3"
"806","11","A4"
"807","11","A5"
"808","11","A6"
"809","11","A7"
"810","11","A8"
"811","11","A9"
"812","11","B1"
"813","11","B2"
"814","11","B3"
"815","11","B4"
"816","11","B5"
"817","11","B6"
"818","11","B7"
"819","11","B8"
"820","11","B9"
"821","11","C1"
"822","11","C2"
"823","11","C3"
"824","11","C4"
"825","11","C5"
"826","11","C6"
"827","11","C7"
"828","11","C8"
"829","11","C9"
"830","11","D1"
"831","11","D2"
"832","11","D3"
"833","11","D4"
"834","11","D5"
"835","11","D6"
"836","11","D7"
"837","11","D8"
"838","11","D9"
"839","11","E1"
"840","11","E2"
"841","11","E3"
"842","11","E4"
"843","11","E5"
"844","11","E6"
"845","11","E7"
"846","11","E8"
"847","11","E9"
"848","11","F1"
"849","11","F2"
"850","11","F3"
"851","11","F4"
"852","11","F5"
"853","11","F6"
"854","11","F7"
"855","11","F8"
"856","11","F9"
"857","11","G1"
"858","11","G2"
"859","11","G3"
"860","11","G4"
"861","11","G5"
"862","11","G6"
"863","11","G7"
"864","11","G8"
"865","11","G9"
"866","11","H1"
"867","11","H2"
"868","11","H3"
"869","11","H4"
"870","11","H5"
"871","11","H6"
"872","11","H7"
"873","11","H8"
"874","11","H9"
"875","11","I1"
"876","11","I2"
"877","11","I3"
"878","11","I4"
"879","11","I5"
"880","11","I6"
"881","11","I7"
"882","11","I8"
"883","11","I9"
"884","12","A1"
"885","12","A2"
"886","12","A3"
"887","12","A4"
"888","12","A5"
"889","12","A6"
"890","12","A7"
"891","12","A8"
"892","12","A9"
"893","12","B1"
"894","12","B2"
"895","12","B3"
"896","12","B4"
"897","12","B5"
"898","12","B6"
"899","12","B7"
"900","12","B8"
"901","12","B9"
"902","12","C1"
"903","12","C2"
"904","12","C3"
"905","12","C4"
"906","12","C5"
"907","12","C6"
"908","12","C7"
"909","12","C8"
"910","12","C9"
"911","12","D1"
"912","12","D2"
"913","12","D3"
"914","12","D4"
"915","12","D5"
"916","12","D6"
"917","12","D7"
"918","12","D8"
"919","12","D9"
"920","12","E1"
"921","12","E2"
"922","12","E3"
"923","12","E4"
"924","12","E5"
"925","12","E6"
"926","12","E7"
"927","12","E8"
"928","12","E9"
"929","12","F1"
"930","12","F2"
"931","12","F3"
"932","12","F4"
"933","12","F5"
"934","12","F6"
"935","12","F7"
"936","12","F8"
"937","12","F9"
"938","12","G1"
"939","12","G2"
"940","12","G3"
"941","12","G4"
"942","12","G5"
"943","12","G6"
"944","12","G7"
"945","12","G8"
"946","12","G9"
"947","12","H1"
"948","12","H2"
"949","12","H3"
"950","12","H4"
"951","12","H5"
"952","12","H6"
"953","12","H7"
"954","12","H8"
"955","12","H9"
"956","12","I1"
"957","12","I2"
"958","12","I3"
"959","12","I4"
"960","12","I5"
"961","12","I6"
"962","12","I7"
"963","12","I8"
"964","12","I9"
"965","13","A1"
"966","13","A2"
"967","13","A3"
"968","13","A4"
"969","13","A5"
"970","13","A6"
"971","13","A7"
"972","13","A8"
"973","13","A9"
"974","13","B1"
"975","13","B2"
"976","13","B3"
"977","13","B4"
"978","13","B5"
"979","13","B6"
"980","13","B7"
"981","13","B8"
"982","13","B9"
"983","13","C1"
"984","13","C2"
"985","13","C3"
"986","13","C4"
"987","13","C5"
"988","13","C6"
"989","13","C7"
"990","13","C8"
"991","13","C9"
"992","13","D1"
"993","13","D2"
"994","13","D3"
"995","13","D4"
"996","13","D5"
"997","13","D6"
"998","13","D7"
"999","13","D8"
"1000","13","D9"
"1001","13","E1"
"1002","13","E2"
"1003","13","E3"
"1004","13","E4"
"1005","13","E5"
"1006","13","E6"
"1007","13","E7"
"1008","13","E8"
"1009","13","E9"
"1010","13","F1"
"1011","13","F2"
"1012","13","F3"
"1013","13","F4"
"1014","13","F5"
"1015","13","F6"
"1016","13","F7"
"1017","13","F8"
"1018","13","F9"
"1019","13","G1"
"1020","13","G2"
"1021","13","G3"
"1022","13","G4"
"1023","13","G5"
"1024","13","G6"
"1025","13","G7"
"1026","13","G8"
"1027","13","G9"
"1028","13","H1"
"1029","13","H2"
"1030","13","H3"
"1031","13","H4"
"1032","13","H5"
"1033","13","H6"
"1034","13","H7"
"1035","13","H8"
"1036","13","H9"
"1037","13","I1"
"1038","13","I2"
"1039","13","I3"
"1040","13","I4"
"1041","13","I5"
"1042","13","I6"
"1043","13","I7"
"1044","13","I8"
"1045","13","I9"
"1046","14","A1"
"1047","14","A2"
"1048","14","A3"
"1049","14","A4"
"1050","14","A5"
"1051","14","A6"
"1052","14","A7"
"1053","14","A8"
"1054","14","A9"
"1055","14","B1"
"1056","14","B2"
"1057","14","B3"
"1058","14","B4"
"1059","14","B5"
"1060","14","B6"
"1061","14","B7"
"1062","14","B8"
"1063","14","B9"
"1064","14","C1"
"1065","14","C2"
"1066","14","C3"
"1067","14","C4"
"1068","14","C5"
"1069","14","C6"
"1070","14","C7"
"1071","14","C8"
"1072","14","C9"
"1073","14","D1"
"1074","14","D2"
"1075","14","D3"
"1076","14","D4"
"1077","14","D5"
"1078","14","D6"
"1079","14","D7"
"1080","14","D8"
"1081","14","D9"
"1082","14","E1"
"1083","14","E2"
"1084","14","E3"
"1085","14","E4"
"1086","14","E5"
"1087","14","E6"
"1088","14","E7"
"1089","14","E8"
"1090","14","E9"
"1091","14","F1"
"1092","14","F2"
"1093","14","F3"
"1094","14","F4"
"1095","14","F5"
"1096","14","F6"
"1097","14","F7"
"1098","14","F8"
"1099","14","F9"
"1100","14","G1"
"1101","14","G2"
"1102","14","G3"
"1103","14","G4"
"1104","14","G5"
"1105","14","G6"
"1106","14","G7"
"1107","14","G8"
"1108","14","G9"
"1109","14","H1"
"1110","14","H2"
"1111","14","H3"
"1112","14","H4"
"1113","14","H5"
"1114","14","H6"
"1115","14","H7"
"1116","14","H8"
"1117","14","H9"
"1118","14","I1"
"1119","14","I2"
"1120","14","I3"
"1121","14","I4"
"1122","14","I5"
"1123","14","I6"
"1124","14","I7"
"1125","14","I8"
"1126","14","I9"
"1127","15","A1"
"1128","15","A2"
"1129","15","A3"
"1130","15","A4"
"1131","15","A5"
"1132","15","A6"
"1133","15","A7"
"1134","15","A8"
"1135","15","A9"
"1136","15","B1"
"1137","15","B2"
"1138","15","B3"
"1139","15","B4"
"1140","15","B5"
"1141","15","B6"
"1142","15","B7"
"1143","15","B8"
"1144","15","B9"
"1145","15","C1"
"1146","15","C2"
"1147","15","C3"
"1148","15","C4"
"1149","15","C5"
"1150","15","C6"
"1151","15","C7"
"1152","15","C8"
"1153","15","C9"
"1154","15","D1"
"1155","15","D2"
"1156","15","D3"
"1157","15","D4"
"1158","15","D5"
"1159","15","D6"
"1160","15","D7"
"1161","15","D8"
"1162","15","D9"
"1163","15","E1"
"1164","15","E2"
"1165","15","E3"
"1166","15","E4"
"1167","15","E5"
"1168","15","E6"
"1169","15","E7"
"1170","15","E8"
"1171","15","E9"
"1172","15","F1"
"1173","15","F2"
"1174","15","F3"
"1175","15","F4"
"1176","15","F5"
"1177","15","F6"
"1178","15","F7"
"1179","15","F8"
"1180","15","F9"
"1181","15","G1"
"1182","15","G2"
"1183","15","G3"
"1184","15","G4"
